Date;Temperature;Air humidity
2022-01-09 02:10:18;-0.6;100.0
2022-01-09 02:30:03;-0.7;100.0
2022-01-09 03:00:04;-0.6;100.0
2022-01-09 03:30:03;-0.6;100.0
2022-01-09 04:00:04;-0.7;100.0
2022-01-09 04:30:03;-0.8;100.0
2022-01-09 05:00:03;-0.8;100.0
2022-01-09 05:30:04;-0.9;100.0
2022-01-09 06:00:03;-0.9;100.0
2022-01-09 06:30:04;-0.9;100.0
2022-01-09 07:00:03;-1.0;100.0
2022-01-09 07:30:04;-0.9;100.0
2022-01-09 08:00:03;-0.8;100.0
2022-01-09 08:30:04;-0.7;100.0
2022-01-09 09:00:03;-0.7;100.0
2022-01-09 09:30:03;-0.7;100.0
2022-01-09 10:00:03;-0.7;100.0
2022-01-09 10:30:03;-0.6;100.0
2022-01-09 11:00:04;-0.4;100.0
2022-01-09 11:30:03;-0.3;100.0
2022-01-09 12:00:04;-0.1;99.9
2022-01-09 12:30:03;0.0;98.6
2022-01-09 13:00:03;0.1;97.7
2022-01-09 13:30:04;0.2;96.9
2022-01-09 14:00:03;0.1;96.2
2022-01-09 14:30:04;0.2;95.7
2022-01-09 15:00:03;0.2;94.8
2022-01-09 15:30:03;0.2;94.0
2022-01-09 16:00:03;0.2;94.2
2022-01-09 16:30:03;-0.1;94.7
2022-01-09 17:00:04;-0.2;95.5
2022-01-09 17:30:03;-0.2;96.2
2022-01-09 18:00:04;-0.2;97.4
2022-01-09 18:30:03;-0.3;97.1
2022-01-09 19:00:03;-0.3;94.4
2022-01-09 19:30:04;-0.6;94.4
2022-01-09 20:00:03;-0.6;91.4
2022-01-09 20:30:04;-0.6;88.8
2022-01-09 21:00:03;-0.8;93.6
2022-01-09 21:30:03;-0.8;94.3
2022-01-09 22:00:03;-0.8;92.9
2022-01-09 22:30:03;-0.8;91.4
2022-01-09 23:00:04;-0.8;91.9
2022-01-09 23:30:03;-1.0;93.7
2022-01-10 00:00:04;-1.1;93.8
2022-01-10 00:30:03;-1.2;94.7
2022-01-10 01:00:03;-1.3;93.9
2022-01-10 01:30:04;-1.3;92.8
2022-01-10 02:00:03;-1.4;93.2
2022-01-10 02:30:04;-1.3;91.1
2022-01-10 03:00:03;-1.3;90.1
2022-01-10 03:30:03;-1.3;90.1
2022-01-10 04:00:03;-1.4;91.0
2022-01-10 04:30:03;-1.5;91.6
2022-01-10 05:00:04;-1.7;92.6
2022-01-10 05:30:03;-1.6;92.7
2022-01-10 06:00:04;-1.6;92.8
2022-01-10 06:30:03;-1.5;92.1
2022-01-10 07:00:03;-1.5;92.8
2022-01-10 07:30:03;-1.5;92.5
2022-01-10 08:00:04;-1.5;92.5
2022-01-10 08:30:03;-1.6;93.0
2022-01-10 09:00:03;-1.6;92.1
2022-01-10 09:30:04;-1.7;90.3
2022-01-10 10:00:03;-1.7;90.7
2022-01-10 10:30:04;-1.7;90.2
2022-01-10 11:00:03;-1.8;90.5
2022-01-10 11:30:04;-1.8;89.4
2022-01-10 12:00:03;-1.9;89.4
2022-01-10 12:30:03;-1.9;89.2
2022-01-10 13:00:04;-1.9;90.2
2022-01-10 13:30:03;-2.0;89.8
2022-01-10 14:00:04;-2.0;88.0
2022-01-10 14:30:03;-2.0;87.9
2022-01-10 15:00:03;-2.0;87.4
2022-01-10 15:30:03;-2.1;87.3
2022-01-10 16:00:03;-2.2;87.7
2022-01-10 16:30:04;-2.3;88.6
2022-01-10 17:00:03;-2.4;88.3
2022-01-10 17:30:04;-2.5;88.3
2022-01-10 18:00:03;-2.6;88.0
2022-01-10 18:30:03;-2.5;87.1
2022-01-10 19:00:03;-2.6;89.0
2022-01-10 19:30:03;-2.5;88.8
2022-01-10 20:30:03;-2.7;90.6
2022-01-10 21:00:04;-2.7;90.7
2022-01-10 21:30:03;-2.8;92.1
2022-01-10 22:00:04;-3.7;93.3
2022-01-10 22:30:03;-4.1;95.7
2022-01-10 23:00:03;-4.8;96.5
2022-01-10 23:30:03;-4.6;96.0
2022-01-11 00:00:03;-4.3;95.9
2022-01-11 00:30:04;-4.0;94.5
2022-01-11 01:00:03;-4.0;94.8
2022-01-11 01:30:04;-4.0;95.1
2022-01-11 02:00:03;-3.9;95.0
2022-01-11 02:30:03;-3.9;94.6
2022-01-11 03:00:03;-3.9;95.1
2022-01-11 03:30:03;-3.9;94.9
2022-01-11 04:00:03;-3.7;94.6
2022-01-11 04:30:03;-3.6;94.3
2022-01-11 05:00:04;-3.4;94.5
2022-01-11 05:30:03;-3.1;94.5
2022-01-11 06:00:04;-2.9;94.2
2022-01-11 06:30:03;-2.4;93.6
2022-01-11 07:00:03;-2.3;94.2
2022-01-11 07:30:03;-2.0;93.6
2022-01-11 08:00:04;-2.0;93.7
2022-01-11 08:30:03;-2.3;94.3
2022-01-11 09:00:03;-2.3;94.7
2022-01-11 09:30:04;-2.2;94.3
2022-01-11 10:00:03;-2.0;93.7
2022-01-11 10:30:04;-1.6;92.8
2022-01-11 11:00:03;-1.2;90.9
2022-01-11 11:30:03;-1.0;89.3
2022-01-11 12:00:03;-0.9;88.5
2022-01-11 12:30:03;-0.7;85.9
2022-01-11 13:00:04;-0.5;85.1
2022-01-11 13:30:03;-0.4;85.5
2022-01-11 14:00:03;-0.6;87.0
2022-01-11 14:30:03;-0.7;88.0
2022-01-11 15:00:03;-1.0;89.1
2022-01-11 15:30:04;-1.3;89.7
2022-01-11 16:00:03;-1.3;89.6
2022-01-11 16:30:04;-1.1;90.1
2022-01-11 17:00:03;-1.0;90.1
2022-01-11 17:30:03;-0.9;90.4
2022-01-11 18:00:04;-0.8;90.4
2022-01-11 18:30:03;-0.8;90.6
2022-01-11 19:00:04;-0.8;91.0
2022-01-11 19:30:03;-0.8;91.7
